brand,model,screen_size,color,harddisk,cpu,ram,OS,graphics,price
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
LG,17Z90Q-K.ADB9U1,17.0,Black,2.0,Core i7,32.0,Windows 11 Home,Intel XE,1734.71
ASUS,ROG Flow Z13,13.4,Acronym,1.0,Core i9,32.0,Windows 11 Pro,Dedicated,2499.99
Lenovo,Chromebook,11.6,Black,32.0,MediaTek MT8183,4.0,Chrome OS,Integrated,114.74
Microsoft,Surface Laptop,15.0,Platinum,512.0,Intel Core i7,16.0,Windows 11 Home,Integrated,1084.66
ASUS,TUF Dash 15 (2022),15.6,Off Black,512.0,Core i7,16.0,Windows 11 Home,RTX 3060,1150.99
ASUS,TUF Gaming A15,15.6,Mecha Gray,1.0,Ryzen 7,16.0,Windows 11 Home,Dedicated,1149.0
HP,14-dq0070nr,14.0,Pale rose gold,64.0,Celeron N4020,4.0,Windows 11 S,Integrated,199.99
ASUS,ROG Strix Scar 17,17.3,Off Black,1.0,Ryzen 9,32.0,Windows 11 Pro,Dedicated,2619.99
acer,A3SP14-31PT-37NV,14.0,Silver,128.0,Core i3,8.0,Windows 11 S,Integrated,426.64
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
ASUS,ASUS TUF Gaming F1,17.3,Graphite Black,512.0,Core i5,8.0,Windows 11 Home,RTX 3050,783.95
Lenovo,IdeaPad Flex 5i Chromebook,13.3,Abyss Blue,128.0,Core i3,8.0,Chrome OS,Integrated,479.0
HP,Vector GP66 12UGS-267,15.6,Silver,1.0,Intel Core i5,16.0,Windows 11,Integrated,553.0
Dell,Dell Latitude,14.0,Black,512.0,Core i7-8650U,16.0,Windows 10 Pro,Integrated,399.0
HP,Chromebook 11 G9 EE,11.6,Black,512.0,Celeron,4.0,Chrome OS,UHD Graphics,271.99
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
acer,Swift Go 14,14.0,Silver,512.0,Intel Core i7-1355U,16.0,Windows 11 Home,Integrated,762.19
ASUS,VivoBook S 15,15.6,Midnight Black,1.0,Core i9,16.0,Windows 11 Home,Integrated,989.99
Apple,MacBook Pro,16.2,Space Gray,512.0,ARM 7100,32.0,macOS 12 Monterey,Integrated,1899.0
acer,Aspire 5,15.6,Silver,256.0,AMD Ryzen 5 5500U,8.0,Windows 11,Integrated,488.94
Apple,"2022 Apple MacBook Air M2, 16GB RAM, 512GB Storage - Midnight (Z160000B1)",13.6,Black,512.0,Apple M1,16.0,macOS 12 Monterey,Integrated,1459.94
HP,Vector GP66 12UGS-267,14.0,Rose Gold,64.0,Celeron N4000,16.0,Windows 11,Integrated,389.99
SAMSUNG,NP754XFG-KB1US,15.6,Silver,16.0,Core i7,16.0,Windows 11 Pro,Integrated,1099.99
Microsoft,Surface Laptop Studio 2,14.4,Platinum,2.0,Core i7-13700K,64.0,Windows 11 Home,NVIDIA® GeForce RTX™ 4060,3699.99
ASUS,Zenbook 15,15.6,Basalt Grey,1.0,Ryzen 7,32.0,Windows 11 Home,Integrated,1299.0
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
SAMSUNG,Galaxy Book3 Pro,14.0,Graphite,512.0,Core i7,16.0,Windows 11,Integrated,1199.0
Apple,MacBook Pro,13.0,Black,256.0,Apple M1,16.0,macOS 12 Monterey,Integrated,1457.99
HP,HP 15 scarlet red,15.6,Silver,1.0,Celeron,16.0,Windows 11 Home,Integrated,469.0
