brand,model,screen_size,color,harddisk,cpu,ram,OS,graphics,price
Dell,Vector GP66 12UGS-267,13.3,Black,512.0,Core i7,8.0,Windows 11 Home,Integrated,749.0
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
Dell,XPS 9520 Laptop,15.6,Platinum Silver,512.0,Core i7,16.0,Windows 11 Home,Dedicated,1566.99
Dell,XPS 9320 Laptop,13.4,Black,2000.0,Core i7,32.0,Windows 11 Pro,Integrated,1820.99
Dell,Dell 5000,14.0,Platinum Silver,512.0,Core i7 Family,16.0,Windows 11 Pro,Dedicated,1077.24
Lenovo,ThinkPad P16s G1,16.0,Black,512.0,Core i7,16.0,Windows 11 Pro,QN20-M1-R,1851.99
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
SAMSUNG,Chromebook 4,11.6,Silver,64.0,Celeron N3450,4.0,Chrome OS,Integrated,249.49
Dell,XPS 9530 Laptop,15.6,Platinum Silver,2000.0,Core i7,32.0,Windows 11 Home,Dedicated,2409.99
Lenovo,Chromebook Flex 3,11.6,Almond,64.0,Celeron N4020,4.0,Chrome OS,Integrated,229.0
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
Dell,Precision 5000,14.0,Black,512.0,Core i7,16.0,Windows 10 Pro,RTX A1000,2472.99
Dell,Dell Precision 5560,15.0,Black,512.0,Intel Core i7,32.0,No,Integrated,1999.95
LG,GRAM 16 2-in-1,16.0,Silver,4.0,Core i7 Family,16.0,Windows 11 Pro,Integrated,1919.0
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
Dell,Dell 5000,16.0,Platinum Silver,4.0,Ryzen 7,64.0,Windows 11 Pro,Integrated,1317.06
acer,PH315-55,15.6,Abyss Black,2.0,Core i7 Family,32.0,Windows 11 Pro,Dedicated,2129.99
Dell,Precision 3000,15.6,Black,512.0,Core i7,16.0,Windows 11 Pro,Dedicated,1514.09
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
LG,LG gram,15.6,Silver,256.0,Core i5 2.3 GHz,8.0,Windows 10 Home,Integrated,999.99
Dell,XPS,17.0,Platinum Silver,1.0,Core I7 11800H,16.0,Windows 10,Dedicated,2179.05
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
Lenovo,ThinkPad P14s Gen 3,14.0,Black,512.0,Core i7,16.0,Windows 11 Pro,T550,2426.99
Microsoft,Surface Laptop,13.5,Black,512.0,Core i5,16.0,Windows 11 Home,Integrated,1499.99
Dell,Latitude,15.6,Black,2.0,Core i5,16.0,Windows 10 Pro,Integrated,1436.81
Dell,7000,13.3,Grey,512.0,AMD Ryzen 7,12.0,Windows 10,Integrated,795.0
HP,HP 14 laptop,14.0,Silver,128.0,Core i3,4.0,Windows 10 Home,Integrated,328.58
Dell,Latitude 5420,15.6,Black,256.0,Core i5,8.0,Windows 10 Pro,Integrated,1443.6
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
acer,C771-C4TM,11.6,Black,32.0,Celeron,1.0,Chrome OS,Integrated,295.4
Dell,Dell Latitude,13.3,Black,256.0,Core i5,8.0,Windows 10 Pro,Integrated,729.0
HP,PRO X2 612G1+KEYBOARD,12.5,Silver,256.0,Core i5,8.0,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,Integrated,209.98
Dell,Latitude 7420 Laptop,14.0,Black,512.0,Core i7,32.0,Windows 10 Pro,Integrated,1652.99
Lenovo,ThinkPad T15p Gen 3,15.6,Black,256.0,Core i7,8.0,Windows 11,GeForce RTX 3050,1920.57
Dell,Latitude 7420,14.0,Black,256.0,Core i5,16.0,Windows 10 Pro,Integrated,544.0
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
HP,38S12UT#ABA,13.3,Black,512.0,Core i5,16.0,Windows 10 Pro,Integrated,2099.0
Dell,Dell 5000,16.0,Platinum Silver,512.0,Ryzen 7,16.0,Windows 11,Integrated,854.86
Lenovo,ThinkPad T16 Gen 1,16.0,Black,256.0,Ryzen 5,16.0,Windows 11 Pro,Radeon Graphics,1007.0
Lenovo,Lenovo ThinkPad X1 Carbon Gen 11,14.0,Black,512.0,Core i7 Family,32.0,Windows 11 Pro,Integrated,1644.31
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
Lenovo,Lenovo ThinkPad T14 Gen 3 AMD,14.0,Black,2.0,AMD Ryzen 7,16.0,Windows 11 Pro,Integrated,1131.06
HP,ELITEBOOK 820G3,12.5,Black,512.0,Core i5,16.0,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,Integrated,307.98
MSI,Modern 14 B11MO-857,14.0,Beige Mousse,512.0,Core i5,8.0,Win 10 Multi-language /Free upgrade to Win 11,Integrated,699.0
Dell,E6540,15.6,Black,500.0,Core i7,8.0,Windows 7 Professional,Dedicated,529.95
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
Dell,Dell Inspiron 16 5625,16.0,Silver,1000.0,AMD Ryzen 7,16.0,Windows 11 Pro,Integrated,854.86
LG,17Z90R-N.APC5U1,17.0,Obsidian Black,512.0,Core i7,8.0,Windows 11 Pro,Integrated,1469.99
HP,Spectre x360,15.6,Black,512.0,Core i7,16.0,Windows 11 Home,Integrated,2299.0
MSI,Raider GE76 12UE,17.3,Titanium Blue-Black-Dark Blue-Black,4.0,Intel Core i9,64.0,Windows 11 Pro,Dedicated,2569.0
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
Dell,Latitude 7000,14.0,Carbon Fiber,256.0,Core i7,16.0,Windows 10 Pro,Iris Xe Graphics,1652.68
ASUS,VivoBook,15.6,Gray,512.0,Core i3 Family,12.0,Windows 11 Home,Integrated,479.0
Dell,DELL XPS 15 9520,15.6,Platinum Silver,1.0,Core i7,32.0,Windows 11 Pro,Dedicated,1681.29
acer,Vector GP66 12UGS-267,14.0,Pure Silver,512.0,Core i7,16.0,Windows 11 Home,Integrated,599.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
Toughbook,CF-54 MK1,14.0,grey,512.0,Intel Core i5,8.0,Windows 10 Pro,Integrated,749.89
Lenovo,Yoga,14.0,Dark Moss,512.0,Intel Core i5-1135G7,12.0,Windows 10 Home,Integrated,1049.0
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
Dell,LATITUDE E6540,15.6,Silver,1000.0,Core i7,16.0,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,Integrated,342.98
SAMSUNG,XE303C12,11.6,Silver,16.0,Core i7,2.0,Chrome OS,Integrated,85.0
Dell,Dell Latitude 14 5000 E5470,14.0,Black,512.0,Core i7,16.0,Windows 10 Pro,Integrated,339.0
Dell,Dell Latitude,15.6,Black,320.0,Core i3,4.0,Windows 7,Integrated,249.95
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
Dell,Precision 5000,14.0,Mist Blue,512.0,Core i7,16.0,Windows 11 Pro,RTX A1000,1770.16
Dell,Inspiron,14.0,Silver,2.0,Core i7,64.0,Windows 11 Home,Integrated,993.23
HP,EliteBook Folio,14.0,Black,256.0,Core i5-4210U,4.0,Windows 10 64 Bit-Multi-Language Supports English/Spanish/French,Integrated,252.98
Dell,Latitude Rugged 5420 Laptop,14.0,Black,256.0,Core i7,32.0,Windows 11 Pro,AMD RADEON RX 540,999.66
Lenovo,ThinkPad X1 Nano Gen1,13.0,Black Paint,256.0,Core i7 Family,16.0,Windows 11 Pro,Iris Xe Graphics,1504.08
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
Dell,Dell Latitude,14.0,Black,512.0,8032,8.0,Windows 10,Integrated,540.0
acer,Acer Swift 3 SF313-52-526M,15.6,Black,256.0,Core i5,8.0,Windows 10 Home,Integrated,436.11
Lenovo,Vector GP66 12UGS-267,15.6,Grey,128.0,Pentium,12.0,Windows 11 Home,Integrated,458.14
acer,PT516-52s-73YD,16.0,Gray,1.0,Core i7,16.0,Windows 11 Home,Dedicated,1849.0
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
Dell,Latitude 9000,14.0,Black,256.0,Core i5,16.0,Windows 11 Pro,Iris Xe Graphics,1713.59
Lenovo,ThinkPad X13 Gen 3,13.3,Black,512.0,Core i7,16.0,Windows 11 Pro,Iris Xe Graphics,1730.95
HP,B09HSNNCQL,15.6,Black,128.0,Athlon,4.0,Windows 10 Home,Integrated,288.0
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
Dell,Inspiron 3511,15.6,Black,256.0,Core i5,32.0,Windows 11 Home,Integrated,714.34
Dell,Dell 5000,14.0,Platinum Silver,2.0,Core i7 Family,64.0,Windows 11 Pro,Dedicated,1406.04
Lenovo,ThinkPad P1 Gen 4,16.0,Black,512.0,Core i7 Family,16.0,Windows 10 Pro,T1200,1960.77
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
acer,CB3-111,11.6,Moonstone White,16.0,Celeron,16.0,Chrome OS,Integrated,159.95
Computer Upgrade King,Vector GP66 12UGS-267,17.0,Black,2000.0,Intel Core i7,64.0,Windows 11 Home,Dedicated,2199.99
Dell,Latitude 5420,14.0,Gray,2.0,Core i5 Family,64.0,Windows 11 Pro,Integrated,1419.92
MSI,Raider GE76 12UHS-255,17.3,Titanium Blue,1.0,Core i7,32.0,Windows 11 Home,Dedicated,3599.0
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
HP,HP Envy,13.3,Natural Silver,1.0,Intel Core i7-1165G7,16.0,Windows 10 Pro,Integrated,1499.0
Dell,Precision 3000,15.6,Black,512.0,Core i7,16.0,Windows 11,RTX A500,1734.21
Dell,Latitude,15.6,Black,512.0,Core i7 Family,16.0,Windows 11 Pro,Integrated,873.93
Dell,Latitude E6400,14.1,Silver,160.0,Core 2 Duo,16.0,Windows 7 Professional,Dedicated,89.99
Dell,Precision 7670 Laptop,16.0,Silver,512.0,Core i7,32.0,Windows 11 Pro,Dedicated,1385.98
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
LG,17Z95P-K.AAB9U1,17.0,Black,2.0,Core i7 Family,16.0,Windows 11,Integrated,1515.03
CTL,Chromebook,14.0,Black,64.0,Celeron,8.0,Chrome OS,UHD Graphics,417.99
Dell,V7620,16.0,Black,512.0,Core i7 Family,24.0,Windows 11 Pro,Dedicated,1193.72
HP,HP Notebook,15.6,Black,512.0,Celeron,16.0,Windows 10,Integrated,425.99
HP,Elite x360 1040 G9,14.0,Black,512.0,Core i7,16.0,Windows 11 Pro,Iris Xe Graphics,1796.25
Dell,Dell Precision,13.4,Black,1.0,Core i7 Family,16.0,Windows 10 Pro,Integrated,1101.49
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
HP,ProBook x360,11.6,Black,512.0,Celeron,4.0,Windows 11 Pro,UHD Graphics,401.99
Dell,VXDV2,14.0,Black,256.0,Intel Core i5,16.0,Windows 10 Pro,Integrated,1699.0
Dell,Latitude 3000,11.6,Black,512.0,Celeron,4.0,Windows 11,UHD Graphics,287.99
Dell,Latitude 9000,14.0,Black,512.0,Core i7,16.0,Windows 10 Pro,Integrated,2108.4
Dell,Latitude 5000,14.0,Carbon Fiber,128.0,Celeron,4.0,Chrome OS,UHD Graphics 610,361.65
HP,EliteBook 840 G8,14.0,Black,256.0,Core i7,16.0,Windows 11 Pro,Iris Xe Graphics,1659.99
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
Dell,Latitude 5530 Laptop,15.6,Black,512.0,Core i7,16.0,Windows 11 Pro,Integrated,879.0
Dell,Precision 3550,13.3,Black,512.0,Core i7,16.0,Windows 10 Pro (English/French/Spanish),Integrated,1399.81
HP,EliteBook 1040 G9,14.0,Black,512.0,Core i7,16.0,Windows 11 Pro,Iris Xe Graphics,1963.3
Dell,Dell Inspiron,11.6,Gray,32.0,AMD A Series,4.0,Windows 10,Dedicated,289.0
LG,14T90P-K.AAG9U1,14.0,Green,1.0,Core i7 Family,16.0,Windows 11 Home,Intel XE,1699.99
Lenovo,Lenovo Legion 5,17.3,Black,1.0,Ryzen 7 5800H,64.0,Windows 11 Home,Dedicated,2899.0
Dell,Latitude 9000,15.0,Anodized Titan Gray,256.0,Core i5 Family,16.0,Windows 10 Pro,Iris Xe Graphics,1523.03
Dell,Dell Latitude,13.3,Black,256.0,Core i5,8.0,Windows 10 Pro,Integrated,545.0
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
acer,Chromebook Spin 511 R753T,11.6,Shale Black,64.0,Celeron,8.0,Chrome OS,UHD Graphics,485.99
Dell,Dell Precision,17.3,Black,512.0,Core i7 Family,16.0,Windows 10 Pro,Dedicated,1998.77
Lenovo,Lenovo ThinkPad X1 Yoga I5,14.0,Gray,256.0,Core i5,8.0,Windows 10 Pro,Integrated,844.65
Dell,Precision 5470 Laptop,14.0,Silver,2000.0,Core i7,32.0,Windows 11 Pro,Integrated,2668.91
Dell,Latitude 7000,14.0,Carbon Fiber,256.0,Core i5,8.0,Windows 10 Pro,Iris Xe Graphics,569.77
Dell,Precision 3000,15.6,Titan Gray,512.0,Core i7,16.0,Windows 10 Pro,T550,1599.77
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
HP,EliteBook 630 G10,13.3,Black,256.0,Core i3,8.0,Windows 11 Pro,UHD Graphics,905.27
HP,HP14CA000NR,14.0,Black,512.0,Celeron,4.0,Chrome OS,Integrated,169.0
Lenovo,20YGS02Q00,15.6,Black,512.0,Core i7,8.0,Windows 10,Dedicated,799.0
Dell,XPS 9530 Laptop,15.6,Platinum Silver,2000.0,Core i9,64.0,Windows 11 Home,Dedicated,3245.46
Dell,Laitude E6540,15.6,Silver,500.0,Core i5-4200M,8.0,Win 10 Pro 64 Bit Multi-Language Support English/French/Spanish(Renewed),Integrated,266.98
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
Dell,PKV7Y,15.6,Black,512.0,Core i7,32.0,Windows Pro,Dedicated,1244.95
Dell,Precision 7670 Laptop,16.0,Silver,1000.0,Core i7,32.0,Windows 11 Pro,Dedicated,1269.99
Lenovo,ThinkStation P348,15.6,Black,512.0,Core i7,16.0,Windows 11 Pro,Integrated,1171.31
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
Dell,F2WJ0,14.0,Black,256.0,Intel Core i5,16.0,Windows 10 Pro,Integrated,1557.79
Dell,Dell Latitude 7214 Rugged Laptop 2 In 1,11.6,Black,512.0,Intel Core i5,8.0,Windows 10 Pro,Integrated,899.95
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
Dell,Dell Latitude,14.0,Black,512.0,8032,8.0,Windows 10,Integrated,540.0
acer,Acer Swift 3 SF313-52-526M,15.6,Black,256.0,Core i5,8.0,Windows 10 Home,Integrated,436.11
Lenovo,Vector GP66 12UGS-267,15.6,Grey,128.0,Pentium,12.0,Windows 11 Home,Integrated,458.14
acer,PT516-52s-73YD,16.0,Gray,1.0,Core i7,16.0,Windows 11 Home,Dedicated,1849.0
Lenovo,Yoga 710,15.6,Black,256.0,Intel Core i5,8.0,Windows 10,Integrated,699.99
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,14.0,Rose Gold,64.0,Celeron N4000,16.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
Dell,DELL-XPS-9720,17.0,Platinum Silver,4.0,Core i7 Family,64.0,Windows 10 Pro,Dedicated,3799.0
Dell,Latitude 5320 Laptop,13.3,Black,256.0,Core i7,8.0,Windows 11 Pro,Integrated,807.99
Lenovo,Thinkpad,15.6,Black,500.0,Core i7,16.0,Windows 7,Integrated,369.95
Lenovo,ThinkPad P16s G1,16.0,Black,1.0,Ryzen 7,32.0,Windows 11 Pro,Radeon 680M,2399.99
HP,Vector GP66 12UGS-267,15.6,Silver,1000.0,Intel Core i5,64.0,Windows 11 Pro,Integrated,999.99
ROKC,Ideapad 3,15.6,Gray,1000.0,Intel Core i5,20.0,Windows 11,Integrated,639.99
DELL,Inspiron,16.0,Silver,1000.0,Intel Core i5,32.0,Windows 11,Integrated,899.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
Dell,Inspiron 3511,15.6,Black,256.0,Core i5,32.0,Windows 11 Home,Integrated,714.34
Dell,Dell 5000,14.0,Platinum Silver,2.0,Core i7 Family,64.0,Windows 11 Pro,Dedicated,1406.04
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
acer,CB3-111,11.6,Moonstone White,16.0,Celeron,16.0,Chrome OS,Integrated,159.95
Computer Upgrade King,Vector GP66 12UGS-267,17.0,Black,2000.0,Intel Core i7,64.0,Windows 11 Home,Dedicated,2199.99
Dell,Latitude 5420,14.0,Gray,2.0,Core i5 Family,64.0,Windows 11 Pro,Integrated,1419.92
MSI,Raider GE76 12UHS-255,17.3,Titanium Blue,1.0,Core i7,32.0,Windows 11 Home,Dedicated,3599.0
Dell,Dell Inspiron 15 3520,15.6,Black,512.0,Core i7,16.0,Windows 11 Home,Integrated,809.0
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,14.0,Rose Gold,64.0,Celeron N4000,16.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
HP,HP Chromebook,14.0,Blue,64.0,Celeron N4020,4.0,Windows 10 S,Integrated,228.0
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
HP,HP Envy,13.3,Natural Silver,1.0,Intel Core i7-1165G7,16.0,Windows 10 Pro,Integrated,1499.0
Dell,Precision 3000,15.6,Black,512.0,Core i7,16.0,Windows 11,RTX A500,1734.21
Dell,Latitude,15.6,Black,512.0,Core i7 Family,16.0,Windows 11 Pro,Integrated,873.93
Dell,Latitude E6400,14.1,Silver,160.0,Core 2 Duo,16.0,Windows 7 Professional,Dedicated,89.99
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,14.0,Rose Gold,64.0,Celeron N4000,16.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
Dell,Precision 7670 Laptop,16.0,Silver,512.0,Core i7,32.0,Windows 11 Pro,Dedicated,1385.98
LG,17Z95P-K.AAB9U1,17.0,Black,2.0,Core i7 Family,16.0,Windows 11,Integrated,1515.03
CTL,Chromebook,14.0,Black,64.0,Celeron,8.0,Chrome OS,UHD Graphics,417.99
MSI,Vector GP66 12UGS-267,15.66,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1599.0
MSI,Stealth GS66 12UGS-025,15.6,Core Black,512.0,Intel Core i9,32.0,Windows 11 Home,Dedicated,1699.0
ROKC,Vector GP66 12UGS-267,14.0,Blue,1000.0,Intel Core i7,8.0,Windows 11,Integrated,589.99
Dell,Dell Precision,13.4,Black,1.0,Core i7 Family,16.0,Windows 10 Pro,Integrated,1101.34
HP,ProBook x360,11.6,Black,512.0,Celeron,4.0,Windows 11 Pro,UHD Graphics,401.99
Dell,VXDV2,14.0,Black,256.0,Intel Core i5,16.0,Windows 10 Pro,Integrated,1699.0
Dell,Latitude 3000,11.6,Black,512.0,Celeron,4.0,Windows 11,UHD Graphics,287.99
Dell,Latitude 9000,14.0,Black,512.0,Core i7,16.0,Windows 10 Pro,Integrated,2108.4
Dell,Latitude 5000,14.0,Carbon Fiber,128.0,Celeron,4.0,Chrome OS,UHD Graphics 610,361.65
HP,EliteBook 840 G8,14.0,Black,256.0,Core i7,16.0,Windows 11 Pro,Iris Xe Graphics,1659.99
ROKC,Vector GP66 12UGS-267,15.6,Blue,1152.0,Pentium,20.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,14.0,Rose Gold,64.0,Celeron N4000,16.0,Windows 11,Integrated,389.99
HP,Vector GP66 12UGS-267,15.6,Black,1000.0,Pentium N5000,16.0,Windows 11,Integrated,459.99
Dell,Latitude 5530 Laptop,15.6,Black,512.0,Core i7,16.0,Windows 11 Pro,Integrated,879.0
